 !*  File produced by HERAVerager and OT
 !*  Created on 20140725

&Data
  Name = "EIC CCep 18x275 realistic"
  Reaction = "CC e+-p"
  NData =    88
  NColumn =   11
  ColumnType = 6*"Bin",4*"Error","Sigma"
  ColumnName = "x","Q2","y","W","ignore", "lumi", "stat", "uncor","normCC18x275","ignore", "Sigma"

  TermName = 'R'
  TermSource = 'use:hf_scheme_DISCC'
  TermInfo = 'type=signonred:flav=incl:echarge=-1:epolarity=0'
  TheorExpr = 'R'

!  CInfo = "sqrt(S)", "e charge", "reduced", "e polarity"
!  DataInfo =     0.140712E+03,   -0.1000E+01,    0.0000E+00,    0.0000E+00,

  IndexDataset =   3001
  Percent = 172*true
&End
0.152   1.4e+03          0.466       7820     0.22760E-01      15.40	1.763379282	2	2.50      2.49055442569       0.0222072    	
0.215   1.4e+03           0.33       5127     0.14107E-01      15.40	1.865308721	2	2.50      -2.32834608753      0.0131172    	
0.303   1.4e+03          0.233       3221     0.77133E-02      15.40	2.214417047	2	2.50      2.36826012483       0.00751696   	
0.428   1.4e+03          0.165       1872     0.31174E-02      15.40	2.930471351	2	2.50      -0.79265913798      0.00294424   	
0.605   1.4e+03          0.117      916.6     0.56795E-03      15.40	5.682566185	2	2.50      0.344869138537      0.000542553  	
0.854   1.4e+03         0.0828      240.3     0.43199E-05      15.40	26.75647755	2	2.50      35.9129256641       5.58948e-06  
0.215   3e+03          0.706    1.099e+04     0.92677E-02      15.40	2.392793564	2	2.50      -4.79722423599      0.0083996    	
0.303   3e+03           0.5          6902     0.50605E-02      15.40	2.701130115	2	2.50      -4.1986538089       0.00461532   	
0.428   3e+03          0.354         4010     0.20105E-02      15.40	3.643977419	2	2.50      0.052131824498      0.00191499   	
0.605   3e+03          0.251         1963     0.35358E-03      15.40	6.956684163	2	2.50      -0.47332672079      0.000335015  
0.854   3e+03          0.177        513.9     0.24896E-05      15.40	26.75647755	2	2.50      4.33788720946       2.47291e-06  
0.303   5e+03          0.833     1.15e+04     0.33290E-02      15.40	2.828541912	2	2.50      -1.73459711719      0.00311424   	
0.428   5e+03           0.59         6683     0.13099E-02      15.40	3.159812587	2	2.50      -1.74878378341      0.00122522   
0.605   5e+03          0.418         3271     0.22555E-03      15.40	6.727342927	2	2.50      -0.538113870514     0.000213568  	
0.854   5e+03          0.296        855.9     0.15137E-05      15.40	40.26212812	2	2.50      59.5410901947       2.29905e-06  	
0.605   9e+03          0.752         5888     0.11517E-03      15.40	4.128142251	2	2.50      -0.59621115609      0.000108988  	
0.854   9e+03          0.532         1540     0.73410E-06      15.40	17.5828281	2	2.50      10.4490272025       7.71888e-07  
